qseqid	qlen	sseqid	slen	pident	length
Tery_3773	505	3R_11113	505	100.0	505
Tery_3773	505	8R_1720	342	96.3	241
Tery_4114	726	3R_1358	1473	88.7	726
Tery_4114	726	8R_523	445	89.7	395
Tery_4114	726	8R_524	958	89.3	371
Tery_4133	1470	3R_10881	8618	96.8	1470
Tery_4133	1470	3R_10878	8642	100.0	200
Tery_4133	1470	8R_4656	1973	89.4	1470
Tery_4136	891	3R_10881	8618	97.6	891
